Goal,Legs,Chest,Arms,Back,Full Body,Lifts,Reps
0,1,0,0,0,0,High Bar Squat;Box Squat;Hamstring Curls;Romanian Deadlift;Leg Extensions;Leg Press,14
1,0,0,1,0,0,Machine Curl;Single Arm Tricep Extensions;Overhead Tricep Press;Front Raises;Overhead Tricep Extensions;Shoulder Dumbbell Press,5
1,0,1,0,1,1,Machine Chest Press;Lat Pull Downs;Hip Thrust;Standing Overhead Press;Dumbbell Flat Press;Barbell Bench Press,5
1,1,0,0,1,1,Leg Press;Dumbbell Row;Standing Overhead Press;Plank;Pull-Ups;Sumo Deadlift,5
0,0,1,0,0,0,Cable Chest Press;Chest Flies (DB or Cable);Bench Press;Machine Chest Press;Barbell Bench Press;Dumbbell Incline Press,11
1,0,0,1,0,1,Front Raises;Push-Ups;Spider Curl;Pull-Ups;Barbell Curl;Skull Crushers,4
0,0,0,1,1,1,Spider Curl;Upright Row;Pull-Ups;Cable Row;Overhead Tricep Extensions;Barbell Curl,10
0,0,0,1,0,0,Tricep Extension;Shoulder Machine Press;Shoulder Barbell Press;Front Raises;Overhead Tricep Extensions;Dumbbell Curl,13
1,0,1,1,1,1,Bench Press;Hammer Curl;Sumo Deadlift;Standing Overhead Press;Cable Chest Press;Shoulder Machine Press,4
0,1,1,0,1,1,Pin Press Squat;Bench Press;Lat Pull Downs;Hip Thrust;Barbell Bench Incline Press;Deadlift,13
1,0,1,0,1,0,Cable Chest Press;Dumbbell Row;Dumbbell Incline Press;Bench Press;Machine Chest Press;Deadlift,5
0,1,1,0,0,1,Bulgarian Split Squats;Barbell Bench Incline Press;Push-Ups;Pull-Ups;Calf Raise;Plank,11
1,0,1,0,0,1,Machine Chest Press;Push-Ups;Pull-Ups;Bench Press;Pec Deck;Russian Twist,6
1,0,1,1,1,1,Dumbbell Flat Press;Shoulder Machine Press;T-Bar Row;Plank;Machine Chest Press;Shoulder Barbell Press,6
0,1,1,1,0,1,Hip Abductors;Pec Deck;Overhead Tricep Extensions;Russian Twist;Calf Raise;Skull Crushers,8
1,1,0,0,1,1,Romanian Deadlift;Lat Pull Overs;Push-Ups;Deadlift;Lat Pull Downs;Upright Row,6
0,1,1,1,0,1,Box Squat;Bench Press;Shoulder Barbell Press;Russian Twist;High Bar Squat;Hip Thrust,9
1,0,1,1,1,0,Cable Chest Press;Shoulder Dumbbell Press;Sumo Deadlift;Barbell Bench Press;Barbell Bench Incline Press;Cable Row,5
1,1,0,0,0,0,Lunges;Squat;Hip Abductors;Hamstring Curls;Box Squat;Pin Press Squat,4
0,1,1,0,0,0,Leg Press;Bench Press;High Bar Squat;Barbell Bench Press;Hamstring Curls;Dumbbell Incline Press,11
0,0,0,1,1,0,Lat Raises;Lat Pull Downs;Upright Row;Lat Pull Overs;Dumbbell Row;Cable Row,9
0,0,0,1,0,0,Tricep Pushdowns;Overhead Tricep Press;Hammer Curl;Spider Curl;Tricep Extension;Dumbbell Curl,14
0,0,0,0,1,0,Sumo Deadlift;T-Bar Row;Cable Row;Deadlift;Rear Delt Flies;Dumbbell Row,13
1,0,0,1,1,0,Barbell Curl;Lat Pull Overs;Barbell Row;Lat Raises;Single Arm Tricep Extensions;Shoulder Dumbbell Press,4
0,0,1,0,1,1,Pec Deck;Lat Pull Overs;Weighted Dips;Plank;T-Bar Row;Cable Chest Press,12
1,1,0,1,1,1,High Bar Squat;Shoulder Machine Press;Barbell Row;Push-Ups;Plank;Cable Row,6
0,0,0,0,0,1,Russian Twist;Hip Thrust;Push-Ups;Weighted Dips;Plank;Standing Overhead Press,14
1,0,1,0,0,0,Chest Flies (DB or Cable);Bench Press;Barbell Bench Incline Press;Dumbbell Incline Press;Machine Chest Press;Pec Deck,5
1,1,1,1,0,0,Lunges;Dumbbell Flat Press;Shoulder Dumbbell Press;Pec Deck;Barbell Bench Incline Press;Hip Adductors,6
1,0,1,0,1,1,Pec Deck;Cable Row;Pull-Ups;Dumbbell Row;Hip Thrust;Dumbbell Flat Press,4
0,1,0,1,1,0,Hamstring Curls;Shoulder Machine Press;Upright Row;Hip Abductors;Deadlift;Bulgarian Split Squats,13
0,0,0,1,0,0,Shoulder Barbell Press;Spider Curl;Tricep Extension;Machine Curl;Cable Curl;Shoulder Dumbbell Press,14
1,0,1,0,0,0,Barbell Bench Press;Bench Press;Dumbbell Incline Press;Cable Chest Press;Barbell Bench Incline Press;Pec Deck,4
1,0,1,0,1,0,Chest Flies (DB or Cable);T-Bar Row;Upright Row;Bench Press;Lat Pull Overs;Lat Pull Downs,4
0,0,0,0,0,1,Push-Ups;Pull-Ups;Weighted Dips;Plank;Russian Twist;Standing Overhead Press,12
0,0,0,0,0,1,Hip Thrust;Plank;Weighted Dips;Standing Overhead Press;Russian Twist;Push-Ups,14
1,1,1,0,1,1,Leg Press;Pec Deck;T-Bar Row;Russian Twist;Machine Chest Press;Dumbbell Row,6
0,1,1,0,1,1,Squat;Chest Flies (DB or Cable);Lat Pull Overs;Russian Twist;Pull-Ups;Plank,10
1,1,1,0,0,0,Lunges;Chest Flies (DB or Cable);Low Bar Squat;Leg Extensions;Barbell Bench Press;Pec Deck,6
0,0,0,1,0,1,Shoulder Machine Press;Plank;Hip Thrust;Hammer Curl;Single Arm Tricep Extensions;Push-Ups,13
0,0,0,0,1,1,Upright Row;Push-Ups;Plank;Pull-Ups;Lat Pull Downs;Rear Delt Flies,8
1,1,0,0,1,1,Bulgarian Split Squats;Upright Row;Push-Ups;Cable Row;Leg Press;Lat Pull Overs,4
0,0,0,0,1,1,T-Bar Row;Pull-Ups;Lat Pull Downs;Push-Ups;Hip Thrust;Cable Row,10
